"tx_start_utc","tx_start_ms","tx_end_ms","event","bytes","write_us","uart_wire_ms","left_pwm","right_pwm","pulses"
"2026-08-29T13:56:04.8827254Z","32.084","38.687","LOCK","41","5833.6","42.708","8","8","50"
"2026-08-29T13:56:05.1276681Z","276.057","276.252","LOCK","41","189.6","42.708","8","8","50"
"2026-08-29T13:56:05.3309103Z","479.579","479.811","LOCK","41","221.5","42.708","8","8","50"
"2026-08-29T14:01:49.1695865Z","344317.85","344318.203","RUN","41","347.5","42.708","8","8","50"
"2026-08-29T14:01:49.6835068Z","344832.133","344832.454","LOCK","41","313.2","42.708","8","8","50"
"2026-08-29T14:01:49.8872797Z","345035.689","345036.027","LOCK","41","325.7","42.708","8","8","50"
"2026-08-29T14:01:50.1084498Z","345257.268","345257.628","LOCK","41","352.6","42.708","8","8","50"
"2026-08-29T14:02:00.2522897Z","355400.665","355400.889","RUN","41","216.3","42.708","8","8","50"
"2026-08-29T14:02:00.7678185Z","355916.114","355916.435","LOCK","41","310.5","42.708","8","8","50"
"2026-08-29T14:02:00.9722728Z","356120.869","356121.069","LOCK","41","194.2","42.708","8","8","50"
"2026-08-29T14:02:01.1770811Z","356325.563","356325.903","LOCK","41","334.4","42.708","8","8","50"
"2026-08-29T14:02:03.3278166Z","358476.187","358476.457","RUN","41","266","42.708","8","8","50"
"2026-08-29T14:02:03.8427189Z","358991.187","358991.564","LOCK","41","364.7","42.708","8","8","50"
"2026-08-29T14:02:04.0452961Z","359193.665","359193.94","LOCK","41","269.4","42.708","8","8","50"
"2026-08-29T14:02:04.2493016Z","359397.767","359398.277","LOCK","41","499.4","42.708","8","8","50"
"2026-08-29T14:02:06.7448993Z","361893.303","361893.48","RUN","41","173.1","42.708","8","8","50"
"2026-08-29T14:02:07.2613856Z","362409.51","362409.971","LOCK","41","449.5","42.708","8","8","50"
"2026-08-29T14:02:07.4654627Z","362613.757","362613.961","LOCK","41","196.4","42.708","8","8","50"
"2026-08-29T14:02:07.6673947Z","362815.892","362816.127","LOCK","41","225.7","42.708","8","8","50"
"2026-08-29T14:02:11.9253167Z","367073.707","367074.011","LOCK","41","297.3","42.708","8","8","50"
"2026-08-29T14:02:12.1415971Z","367290.004","367290.346","LOCK","41","335.1","42.708","8","8","50"
"2026-08-29T14:02:12.3590844Z","367507.556","367507.828","LOCK","41","263.3","42.708","8","8","50"
"2026-08-29T14:02:13.8137543Z","368962.373","368962.614","LOCK","41","231.2","42.708","8","8","50"
"2026-08-29T14:02:14.0312673Z","369179.723","369180.018","LOCK","41","285.4","42.708","8","8","50"
"2026-08-29T14:02:14.2342663Z","369382.722","369383.067","LOCK","41","330.6","42.708","8","8","50"
"2026-08-29T14:02:14.2387633Z","369387.524","369424.412","LOCK","41","36874.2","42.708","8","8","50"
"2026-08-29T14:02:14.4835198Z","369631.936","369632.137","LOCK","41","193.2","42.708","8","8","50"
"2026-08-29T14:02:14.6874020Z","369835.827","369836.085","LOCK","41","249.5","42.708","8","8","50"
