"tx_start_utc","tx_start_ms","tx_end_ms","event","bytes","write_us","uart_wire_ms","left_pwm","right_pwm","pulses"
"2026-08-29T13:46:08.9644919Z","53.748","60.589","LOCK","41","6095.6","42.708","8","8","5"
"2026-08-29T13:46:09.2153009Z","303.897","304.157","LOCK","41","253.6","42.708","8","8","5"
"2026-08-29T13:46:09.4320405Z","520.516","520.708","LOCK","41","187.1","42.708","8","8","5"
"2026-08-29T13:46:25.8236452Z","16911.996","16912.349","RUN","41","340.8","42.708","8","8","5"
"2026-08-29T13:46:26.3363739Z","17424.85","17425.061","LOCK","41","204.5","42.708","8","8","5"
"2026-08-29T13:46:26.5404903Z","17629.123","17629.337","LOCK","41","206","42.708","8","8","5"
"2026-08-29T13:46:26.7447663Z","17833.218","17833.42","LOCK","41","196.6","42.708","8","8","5"
"2026-08-29T13:46:46.7918456Z","37880.296","37880.645","RUN","41","344.4","42.708","8","8","5"
"2026-08-29T13:46:47.3059579Z","38394.373","38394.577","LOCK","41","196.5","42.708","8","8","5"
"2026-08-29T13:46:47.5088378Z","38597.607","38597.966","LOCK","41","347.4","42.708","8","8","5"
"2026-08-29T13:46:47.7267042Z","38815.366","38815.702","LOCK","41","327.8","42.708","8","8","5"
"2026-08-29T13:46:59.1191823Z","50207.683","50207.933","RUN","41","244","42.708","8","8","5"
"2026-08-29T13:46:59.6224480Z","50710.973","50711.242","LOCK","41","254.1","42.708","8","8","5"
"2026-08-29T13:46:59.8399429Z","50928.672","50928.971","LOCK","41","287.8","42.708","8","8","5"
"2026-08-29T13:47:00.0581160Z","51146.732","51147.144","LOCK","41","404.8","42.708","8","8","5"
"2026-08-29T13:47:04.1658118Z","55254.255","55254.506","RUN","41","244.8","42.708","8","8","5"
"2026-08-29T13:47:04.6805018Z","55769.195","55769.421","LOCK","41","217.6","42.708","8","8","5"
"2026-08-29T13:47:04.8983356Z","55987.084","55987.325","LOCK","41","232.7","42.708","8","8","5"
"2026-08-29T13:47:05.1161301Z","56204.88","56205.116","LOCK","41","227.9","42.708","8","8","5"
"2026-08-29T13:47:30.4218245Z","81510.563","81510.81","LOCK","41","241.5","42.708","8","8","5"
"2026-08-29T13:47:30.6252511Z","81713.964","81714.21","LOCK","41","237.2","42.708","8","8","5"
"2026-08-29T13:47:30.8428274Z","81931.725","81931.951","LOCK","41","218.6","42.708","8","8","5"
"2026-08-29T13:47:32.6812870Z","83769.783","83769.972","LOCK","41","183.4","42.708","8","8","5"
"2026-08-29T13:47:32.8838570Z","83972.324","83972.52","LOCK","41","187","42.708","8","8","5"
"2026-08-29T13:47:33.0863920Z","84174.985","84175.207","LOCK","41","213.4","42.708","8","8","5"
"2026-08-29T13:47:33.0908528Z","84179.341","84216.583","LOCK","41","37227.8","42.708","8","8","5"
"2026-08-29T13:47:33.3355543Z","84424.193","84424.439","LOCK","41","236.6","42.708","8","8","5"
"2026-08-29T13:47:33.5382098Z","84626.775","84627.007","LOCK","41","223.6","42.708","8","8","5"
