"tx_start_utc","tx_start_ms","tx_end_ms","event","bytes","write_us","uart_wire_ms","left_pwm","right_pwm","pulses"
"2026-08-29T14:13:58.7643263Z","47.852","54.907","LOCK","41","6048.8","42.708","8","8","50"
"2026-08-29T14:13:59.0095852Z","291.908","292.16","LOCK","41","233","42.708","8","8","50"
"2026-08-29T14:13:59.2262470Z","508.567","508.81","LOCK","41","232","42.708","8","8","50"
"2026-08-29T14:14:02.1950630Z","3477.874","3478.083","RUN","41","204.3","42.708","8","8","50"
"2026-08-29T14:14:10.9247368Z","12207.164","12207.454","LOCK","41","284.7","42.708","8","8","50"
"2026-08-29T14:14:11.1275137Z","12410.017","12410.338","LOCK","41","309.6","42.708","8","8","50"
"2026-08-29T14:14:11.3454394Z","12627.793","12628.167","LOCK","41","360.1","42.708","8","8","50"
"2026-08-29T14:14:16.2661673Z","17548.081","17548.376","LOCK","41","285.5","42.708","8","8","50"
"2026-08-29T14:14:16.4823352Z","17764.75","17765.105","LOCK","41","345.2","42.708","8","8","50"
"2026-08-29T14:14:16.7006026Z","17982.896","17983.148","LOCK","41","244.3","42.708","8","8","50"
"2026-08-29T14:14:16.7054284Z","17987.823","18024.61","LOCK","41","36772.5","42.708","8","8","50"
"2026-08-29T14:14:16.9476790Z","18230.169","18230.425","LOCK","41","246.3","42.708","8","8","50"
"2026-08-29T14:14:17.1518468Z","18434.41","18434.674","LOCK","41","252","42.708","8","8","50"
